Hz Re(h) Im(h) h white
42.75 1.1028587669905824e-23 -7.747521624738469e-24 (1.1028587669905824e-23-7.747521624738469e-24j) (1.2396074171625038-0.8708173302062264j)
43.0 -5.574985191772637e-26 3.87969379999522e-24 (-5.574985191772637e-26+3.87969379999522e-24j) (-0.006332285818526384+0.4406707674522625j)
43.25 3.1413967440846546e-24 -2.7911756161620755e-24 (3.1413967440846546e-24-2.7911756161620755e-24j) (0.3605094338552102-0.32031775135307167j)
43.5 -7.634245156671551e-24 2.4276275074628044e-23 (-7.634245156671551e-24+2.4276275074628044e-23j) (-0.8850380441505765+2.8143485793790792j)
43.75 1.9641441484226585e-23 -1.334302490133322e-23 (1.9641441484226585e-23-1.334302490133322e-23j) (2.2998433022549043-1.562353072497009j)
44.0 -1.0997984091435933e-24 9.413628729657523e-24 (-1.0997984091435933e-24+9.413628729657523e-24j) (-0.1300451841307879+1.1131104312475435j)
44.25 1.0977222744431859e-23 5.176384692032179e-24 (1.0977222744431859e-23+5.176384692032179e-24j) (1.3105635530398605+0.6180052342776753j)
44.5 -4.58309626843608e-26 -6.958343250502959e-24 (-4.58309626843608e-26-6.958343250502959e-24j) (-0.005523826149854643-0.8386618162814373j)
44.75 1.68284862106686e-23 9.547582917829439e-24 (1.68284862106686e-23+9.547582917829439e-24j) (2.0472430358121807+1.1614961912007344j)
45.0 -9.929131308717856e-25 8.866908438207077e-24 (-9.929131308717856e-25+8.866908438207077e-24j) (-0.12190310300626428+1.0886185498834418j)
45.25 -5.8398658620962154e-24 4.0070905079398876e-24 (-5.8398658620962154e-24+4.0070905079398876e-24j) (-0.7234562931091835+0.49640777947365533j)
45.5 1.9522159581247945e-24 1.3488251900675558e-23 (1.9522159581247945e-24+1.3488251900675558e-23j) (0.24399464329991777+1.685807964814511j)
45.75 1.2211172423775411e-24 -8.528282700092073e-24 (1.2211172423775411e-24-8.528282700092073e-24j) (0.1539524366094416-1.0752038020665249j)
46.0 -1.45253675974056e-23 5.001116911168403e-25 (-1.45253675974056e-23+5.001116911168403e-25j) (-1.8470000965971505+0.06359263100282248j)
46.25 2.1849478318423967e-23 1.7709609035098288e-24 (2.1849478318423967e-23+1.7709609035098288e-24j) (2.801757915227012+0.22709026076756897j)
46.5 -6.634290070450899e-24 8.199639334587471e-24 (-6.634290070450899e-24+8.199639334587471e-24j) (-0.857765070872044+1.0601532553248156j)
46.75 1.2005915352077397e-23 -1.7441770517408885e-23 (1.2005915352077397e-23-1.7441770517408885e-23j) (1.564918685049035-2.273458689537376j)
47.0 -8.813470315522297e-24 -6.773807569608064e-24 (-8.813470315522297e-24-6.773807569608064e-24j) (-1.1579966652886524-0.8900065803929949j)
47.25 3.324692887195223e-24 -1.6800990944949807e-25 (3.324692887195223e-24-1.6800990944949807e-25j) (0.44026468285563786-0.022248319471934525j)
47.5 2.4214645151661626e-24 -8.250170487256094e-24 (2.4214645151661626e-24-8.250170487256094e-24j) (0.32313390091154126-1.1009493453383918j)
47.75 -8.820630210535677e-24 2.949712768417514e-24 (-8.820630210535677e-24+2.949712768417514e-24j) (-1.1860133249461011+0.3966154985080557j)
48.0 -4.909179587994663e-24 4.8747596658063625e-24 (-4.909179587994663e-24+4.8747596658063625e-24j) (-0.6650100522541427+0.6603474413549608j)
48.25 -2.158601537866826e-25 -3.463537448815651e-24 (-2.158601537866826e-25-3.463537448815651e-24j) (-0.029455133758000067-0.47261598327000426j)
48.5 -3.0891542035293076e-24 3.723924933543009e-24 (-3.0891542035293076e-24+3.723924933543009e-24j) (-0.42456388320183036+0.5118048262954376j)
48.75 1.4400800624912875e-23 -3.398939615983726e-24 (1.4400800624912875e-23-3.398939615983726e-24j) (1.9932024203214609-0.4704443069217374j)
49.0 -1.1026051943931763e-23 -1.9441061616174267e-24 (-1.1026051943931763e-23-1.9441061616174267e-24j) (-1.5367143623827784-0.27095245657703965j)
49.25 4.900763540677155e-24 -7.082218107962759e-24 (4.900763540677155e-24-7.082218107962759e-24j) (0.6876850761126474-0.9937912037983755j)
49.5 -3.3448359742690484e-25 -1.4466656924404943e-23 (-3.3448359742690484e-25-1.4466656924404943e-23j) (-0.047249961217944225-2.043594914339005j)
49.75 -6.013561884362632e-24 1.2553005256894595e-23 (-6.013561884362632e-24+1.2553005256894595e-23j) (-0.8550836047305183+1.7849436310248001j)
50.0 -1.0424485756071562e-23 -3.5808346497541754e-24 (-1.0424485756071562e-23-3.5808346497541754e-24j) (-1.4918723375648235-0.5124615529596206j)
50.25 1.8053233883434383e-24 1.1603529733403873e-23 (1.8053233883434383e-24+1.1603529733403873e-23j) (0.2600057934896952+1.6711603999011644j)
50.5 -1.269406876841903e-24 -1.0610859027619168e-23 (-1.269406876841903e-24-1.0610859027619168e-23j) (-0.18396293193505825-1.5377297639403869j)
50.75 -1.2571521811243659e-23 -8.790721971020726e-24 (-1.2571521811243659e-23-8.790721971020726e-24j) (-1.8330295411061486-1.281758350537976j)
51.0 -3.720738473686436e-25 7.479675405878365e-24 (-3.720738473686436e-25+7.479675405878365e-24j) (-0.0545777985539426+1.097159126979563j)
51.25 2.4674584000175924e-24 3.470875415697353e-24 (2.4674584000175924e-24+3.470875415697353e-24j) (0.36407913835891376+0.5121356172364321j)
51.5 9.008176917368005e-24 -1.1354516925137704e-23 (9.008176917368005e-24-1.1354516925137704e-23j) (1.3368924524206516-1.6851098859783873j)
51.75 4.621150390942938e-25 1.2512446019274864e-24 (4.621150390942938e-25+1.2512446019274864e-24j) (0.06897290443967023+0.18675430803667906j)
52.0 6.240593411552653e-24 -5.8389815046796565e-25 (6.240593411552653e-24-5.8389815046796565e-25j) (0.9366537852060162-0.08763756533123367j)
52.25 -3.2818102071461462e-24 -3.297672463632689e-24 (-3.2818102071461462e-24-3.297672463632689e-24j) (-0.4952769290763507-0.4976707937988655j)
52.5 -2.006983372442783e-24 -8.866967714956209e-24 (-2.006983372442783e-24-8.866967714956209e-24j) (-0.30452096724020405-1.345391108925645j)
52.75 -2.88757910685671e-24 -5.86674714072826e-24 (-2.88757910685671e-24-5.86674714072826e-24j) (-0.44045766352801186-0.8948858689200377j)
53.0 7.132793134950753e-24 1.2513812403167297e-24 (7.132793134950753e-24+1.2513812403167297e-24j) (1.0936667366652422+0.19187350754856153j)
53.25 6.148844727834386e-24 -1.0728967980978627e-23 (6.148844727834386e-24-1.0728967980978627e-23j) (0.9476180762542226-1.653475481711978j)
53.5 -4.436961905244685e-24 4.328805035372267e-24 (-4.436961905244685e-24+4.328805035372267e-24j) (-0.6872270948611273+0.6704750169620958j)
53.75 -5.090672761211431e-24 8.628463383776133e-24 (-5.090672761211431e-24+8.628463383776133e-24j) (-0.792365446490246+1.3430241074823153j)
54.0 3.1154604765907047e-24 7.136230461171523e-24 (3.1154604765907047e-24+7.136230461171523e-24j) (0.48727043137143866+1.116134876789155j)
54.25 -7.19975116769841e-24 -4.433494957828331e-24 (-7.19975116769841e-24-4.433494957828331e-24j) (-1.1314233167752625-0.696712907606789j)
54.5 6.865000066450615e-24 -1.3523691561817768e-24 (6.865000066450615e-24-1.3523691561817768e-24j) (1.0838546889950924-0.21351371259895674j)
54.75 -4.972991871619269e-24 -7.613384629816183e-25 (-4.972991871619269e-24-7.613384629816183e-25j) (-0.788741789711201-0.12075215028907064j)
55.0 4.0813864620403404e-24 -6.137483077470479e-24 (4.0813864620403404e-24-6.137483077470479e-24j) (0.6502431361789106-0.9778187588107775j)
55.25 -1.798771396749775e-24 -6.059368554396903e-24 (-1.798771396749775e-24-6.059368554396903e-24j) (-0.28784588688483836-0.9696420115719164j)
55.5 4.90079482270655e-24 -8.797691903855422e-24 (4.90079482270655e-24-8.797691903855422e-24j) (0.7876481563725026-1.4139514219814016j)
55.75 -7.400338023591834e-24 2.293510841064028e-24 (-7.400338023591834e-24+2.293510841064028e-24j) (-1.1944425061449027+0.3701813117370808j)
56.0 -1.7669573130821215e-24 -1.6365905152394663e-23 (-1.7669573130821215e-24-1.6365905152394663e-23j) (-0.2863874702319758-2.6525769128373575j)
56.25 -4.224375960601773e-24 6.2351523428704035e-24 (-4.224375960601773e-24+6.2351523428704035e-24j) (-0.6874993321604956+1.0147446893035783j)
56.5 4.497009622420341e-24 1.396687246559648e-23 (4.497009622420341e-24+1.396687246559648e-23j) (0.7348241876729763+2.2822267630239637j)
56.75 -4.000259431218213e-24 -9.306642382728735e-24 (-4.000259431218213e-24-9.306642382728735e-24j) (-0.6562456839135371-1.5267619514198878j)
57.0 1.8587619938600127e-24 -1.4838679862311105e-24 (1.8587619938600127e-24-1.4838679862311105e-24j) (0.3061189002267259-0.24437772965403323j)
57.25 -1.4506032737322546e-23 -8.1421688567191415e-25 (-1.4506032737322546e-23-8.1421688567191415e-25j) (-2.3981318502111084-0.1346060278414838j)
57.5 7.954881109589863e-24 -8.857010165298728e-24 (7.954881109589863e-24-8.857010165298728e-24j) (1.320038848277161-1.469738810261469j)
57.75 -3.323548498375107e-24 1.061932973254564e-24 (-3.323548498375107e-24+1.061932973254564e-24j) (-0.5535474242026853+0.17686826664583202j)
58.0 8.30893805992698e-24 2.4927219612068396e-24 (8.30893805992698e-24+2.4927219612068396e-24j) (1.3888964680067868+0.4166757174831504j)
58.25 -5.236125784832561e-24 -5.971235571089493e-24 (-5.236125784832561e-24-5.971235571089493e-24j) (-0.8783716023785745-1.0016878838073104j)
58.5 -5.351127092225544e-24 -2.4886657240853843e-24 (-5.351127092225544e-24-2.4886657240853843e-24j) (-0.9008015975410838-0.4189386686888586j)
58.75 -4.260263429249316e-24 -3.946798352426674e-24 (-4.260263429249316e-24-3.946798352426674e-24j) (-0.7196295074246374-0.6666800308077766j)
