Hz Re(h) Im(h) h white
37.75 3.706189826918945e-23 -3.9598588123615336e-24 (3.706189826918945e-23-3.9598588123615336e-24j) (1.7156112258052338-0.18330356911963444j)
38.0 2.4970364480986824e-24 1.0374627738562252e-24 (2.4970364480986824e-24+1.0374627738562252e-24j) (0.29961997139103913+0.12448539421951833j)
38.25 -8.15420866395844e-24 2.6457284610862245e-25 (-8.15420866395844e-24+2.6457284610862245e-25j) (-1.1771064475347703+0.03819259671065382j)
38.5 9.982012841367743e-24 9.164023047247822e-24 (9.982012841367743e-24+9.164023047247822e-24j) (1.4409028549148146+1.3228260853925389j)
38.75 -5.413818566806644e-25 -1.1408922526454613e-23 (-5.413818566806644e-25-1.1408922526454613e-23j) (-0.07914143069423589-1.6678033079263377j)
39.0 1.316244135547476e-23 1.1720320577225092e-23 (1.316244135547476e-23+1.1720320577225092e-23j) (1.9405040619916756+1.7278959938909886j)
39.25 3.5120541294032204e-24 -1.5634844735740682e-23 (3.5120541294032204e-24-1.5634844735740682e-23j) (0.5248879463168493-2.336678548209111j)
39.5 -1.271413447925787e-24 1.6512960350950061e-24 (-1.271413447925787e-24+1.6512960350950061e-24j) (-0.191224882505366+0.24836050838361973j)
39.75 -8.815738362832876e-24 1.713700636045428e-24 (-8.815738362832876e-24+1.713700636045428e-24j) (-1.3341731284532057+0.2593513151960498j)
40.0 6.948759512957971e-24 8.63375918288743e-24 (6.948759512957971e-24+8.63375918288743e-24j) (1.0467396761441885+1.3005628233571542j)
40.25 1.8460678249343518e-23 -1.1107402172727773e-23 (1.8460678249343518e-23-1.1107402172727773e-23j) (2.785306427772979-1.6758603475827543j)
40.5 -4.90593411009849e-24 6.21334408630101e-24 (-4.90593411009849e-24+6.21334408630101e-24j) (-0.742514730559782+0.9403916576495542j)
40.75 -6.943491670047088e-24 -1.1103438074834624e-23 (-6.943491670047088e-24-1.1103438074834624e-23j) (-1.0627340523246476-1.6994334119975636j)
41.0 -1.0340726071906788e-23 7.993489236913118e-24 (-1.0340726071906788e-23+7.993489236913118e-24j) (-1.5971941323172396+1.2346477430268519j)
41.25 6.613302053629244e-24 -1.1569693538679613e-23 (6.613302053629244e-24-1.1569693538679613e-23j) (0.8962527553706685-1.5679564654309608j)
41.5 -5.374692180356836e-24 9.165774468933998e-24 (-5.374692180356836e-24+9.165774468933998e-24j) (-0.8506136984187986+1.4506009010873104j)
41.75 -3.0746891431718306e-24 1.5391041666270536e-24 (-3.0746891431718306e-24+1.5391041666270536e-24j) (-0.48930296007940266+0.24493150023754215j)
42.0 6.624430325176722e-24 -7.109738509024997e-24 (6.624430325176722e-24-7.109738509024997e-24j) (1.0512917560771118-1.1283097738978118j)
