Hz Re(h) Im(h) h white
34.5 -6.0538546750555034e-24 1.409808769210922e-23 (-6.0538546750555034e-24+1.409808769210922e-23j) (-0.7730566088621998+1.8002777482602765j)
34.75 3.584288871560173e-24 -3.529562319249764e-24 (3.584288871560173e-24-3.529562319249764e-24j) (0.46076605941037985-0.4537308736994115j)
35.0 -5.488928291259109e-24 1.1069810278672807e-24 (-5.488928291259109e-24+1.1069810278672807e-24j) (-0.6984227855917237+0.14085459529712754j)
35.25 9.68774341529843e-24 3.016552261065502e-24 (9.68774341529843e-24+3.016552261065502e-24j) (1.2727505665023453+0.3963068007243231j)
35.5 -2.166378837489714e-24 -1.3500738213671566e-24 (-2.166378837489714e-24-1.3500738213671566e-24j) (-0.2828510356594655-0.17627100670579074j)
35.75 2.935755647683466e-25 7.885445698447453e-24 (2.935755647683466e-25+7.885445698447453e-24j) (0.03854337401665827+1.035275817601286j)
36.0 1.2245246486842875e-24 -3.1336822316677137e-24 (1.2245246486842875e-24-3.1336822316677137e-24j) (0.16287274415824257-0.4168077996143609j)
36.25 2.08150696404132e-23 1.0455878299933872e-23 (2.08150696404132e-23+1.0455878299933872e-23j) (2.773956119415983+1.393420636828318j)
36.5 -2.5954065575349213e-24 -3.4679142359998796e-24 (-2.5954065575349213e-24-3.4679142359998796e-24j) (-0.3482028590390182-0.46525953645742957j)
36.75 4.830586948309175e-25 -1.4397166250096327e-24 (4.830586948309175e-25-1.4397166250096327e-24j) (0.06579471324989555-0.19609571987265967j)
37.0 1.3573706576239638e-23 -1.4823857456918254e-23 (1.3573706576239638e-23-1.4823857456918254e-23j) (1.8339124891866163-2.002817518963627j)
37.25 1.0360327679946462e-23 1.3074226269106687e-23 (1.0360327679946462e-23+1.3074226269106687e-23j) (1.413987600898117+1.7843831205876335j)
37.5 1.5438431246547268e-24 6.372971915330539e-24 (1.5438431246547268e-24+6.372971915330539e-24j) (0.2123781244762904+0.8766951778346466j)
37.75 -1.1057537444992731e-23 -1.0283365603239681e-23 (-1.1057537444992731e-23-1.0283365603239681e-23j) (-0.5118581685321252-0.47602142070105163j)
38.0 2.711041504752717e-23 1.357126872471169e-24 (2.711041504752717e-23+1.357126872471169e-24j) (3.2529848681721267+0.16284196212411572j)
38.25 7.144445974632983e-25 1.1401263366012463e-23 (7.144445974632983e-25+1.1401263366012463e-23j) (0.10313414541346574+1.6458372812427269j)
38.5 5.248550328645914e-24 -9.994648045680031e-24 (5.248550328645914e-24-9.994648045680031e-24j) (0.757627872543765-1.4427267457728346j)
38.75 -1.152029155210811e-23 8.180077067877635e-24 (-1.152029155210811e-23+8.180077067877635e-24j) (-1.6840836910172687+1.1957973736138834j)
