Hz Re(h+) Im(h+) Re(hx) Im(hx) h+ hx
31.0 -1.341277766126409e-23 7.610366436020259e-24 -7.270397707643393e-24 -1.2813604808834907e-23 (-1.341277766126409e-23+7.610366436020259e-24j) (-7.270397707643393e-24-1.2813604808834907e-23j)
31.25 -1.4980445190429953e-23 2.9072431680823932e-24 -2.7773713976171384e-24 -1.4311241815700855e-23 (-1.4980445190429953e-23+2.9072431680823932e-24j) (-2.7773713976171384e-24-1.4311241815700855e-23j)
31.5 -1.4982822826604865e-23 -1.887731703577398e-24 1.803403340130354e-24 -1.431351323860027e-23 (-1.4982822826604865e-23-1.887731703577398e-24j) (1.803403340130354e-24-1.431351323860027e-23j)
31.75 -1.3552332724164383e-23 -6.300629837259152e-24 6.019169393566447e-24 -1.294692569659112e-23 (-1.3552332724164383e-23-6.300629837259152e-24j) (6.019169393566447e-24-1.294692569659112e-23j)
32.0 -1.094254873251379e-23 -9.95325665788425e-24 9.508626818094435e-24 -1.0453725440091621e-23 (-1.094254873251379e-23-9.95325665788425e-24j) (9.508626818094435e-24-1.0453725440091621e-23j)
32.25 -7.484185922499392e-24 -1.2584125117526536e-23 1.2021969661556389e-23 -7.14985390414014e-24 (-7.484185922499392e-24-1.2584125117526536e-23j) (1.2021969661556389e-23-7.14985390414014e-24j)
32.5 -3.5421609077155486e-24 -1.405390445995465e-23 1.3426091322683527e-23 -3.383926222220952e-24 (-3.5421609077155486e-24-1.405390445995465e-23j) (1.3426091322683527e-23-3.383926222220952e-24j)
32.75 5.222167610514961e-25 -1.4338327679627068e-23 1.3697808846628176e-23 4.988884010199122e-25 (5.222167610514961e-25-1.4338327679627068e-23j) (1.3697808846628176e-23+4.988884010199122e-25j)
33.0 4.3814331536143536e-24 -1.351207196651873e-23 1.2908463459252649e-23 4.1857066705041064e-24 (4.3814331536143536e-24-1.351207196651873e-23j) (1.2908463459252649e-23+4.1857066705041064e-24j)
33.25 7.76324183740422e-24 -1.1727130978935032e-23 1.1203258989335756e-23 7.416443890454828e-24 (7.76324183740422e-24-1.1727130978935032e-23j) (1.1203258989335756e-23+7.416443890454828e-24j)
33.5 1.0463436533807523e-23 -9.188837851363321e-24 8.77835597169935e-24 9.996016043249543e-24 (1.0463436533807523e-23-9.188837851363321e-24j) (8.77835597169935e-24+9.996016043249543e-24j)
33.75 1.2350743496593328e-23 -6.13212346743705e-24 5.858190505732687e-24 1.1799013616521823e-23 (1.2350743496593328e-23-6.13212346743705e-24j) (5.858190505732687e-24+1.1799013616521823e-23j)
34.0 1.3365153208538068e-23 -2.799930343149856e-24 2.6748524291877746e-24 1.2768107825892241e-23 (1.3365153208538068e-23-2.799930343149856e-24j) (2.6748524291877746e-24+1.2768107825892241e-23j)
34.25 1.351125122413809e-23 5.749578595805532e-25 -5.492734600138351e-25 1.2907679380907288e-23 (1.351125122413809e-23+5.749578595805532e-25j) (-5.492734600138351e-25+1.2907679380907288e-23j)
34.5 1.2848142344628578e-23 3.784004700225162e-24 -3.61496641843904e-24 1.2274192765245052e-23 (1.2848142344628578e-23+3.784004700225162e-24j) (-3.61496641843904e-24+1.2274192765245052e-23j)
34.75 1.1477448664438073e-23 6.652751515641492e-24 -6.355561164559969e-24 1.0964730431976687e-23 (1.1477448664438073e-23+6.652751515641492e-24j) (-6.355561164559969e-24+1.0964730431976687e-23j)
35.0 9.530654311151881e-24 9.046588144404275e-24 -8.642460814471046e-24 9.104902876710285e-24 (9.530654311151881e-24+9.046588144404275e-24j) (-8.642460814471046e-24+9.104902876710285e-24j)
35.25 7.156813722507645e-24 1.0872919659913265e-23 -1.0387206823139856e-23 6.837106007915208e-24 (7.156813722507645e-24+1.0872919659913265e-23j) (-1.0387206823139856e-23+6.837106007915208e-24j)
35.5 4.511371927721053e-24 1.2080338591910844e-23 -1.1540688184275338e-23 4.3098408463472026e-24 (4.511371927721053e-24+1.2080338591910844e-23j) (-1.1540688184275338e-23+4.3098408463472026e-24j)
35.75 1.746590310516884e-24 1.2655478838516251e-23 -1.2090135883758263e-23 1.6685669864294444e-24 (1.746590310516884e-24+1.2655478838516251e-23j) (-1.2090135883758263e-23+1.6685669864294444e-24j)
36.0 -9.961536370728414e-25 1.2618226773531317e-23 -1.2054547935379122e-23 -9.516536661304776e-25 (-9.961536370728414e-25+1.2618226773531317e-23j) (-1.2054547935379122e-23-9.516536661304776e-25j)
